No,Stock,Prev,Open,High,Low,Last,Chg,Chg %,Freq,TVol,TVal (K),
"506","PZZA","685","685","715","685","705","20","2.92","85","5,209","365,852",
"507","R-LQ45X","985","985","999","985","999","14","1.42","9","85","8,460",
"508","RAJA","177","181","214","181","199","22","12.43","6,397","812,135","16,249,050",
"509","RALS","655","655","675","650","660","5","0.76","2,054","145,678","9,614,430",
"510","RANC","432","436","438","432","436","4","0.93","41","758","33,044",
"511","RBMS","50","50","50","50","50","0","0.00","2","4","20",
"512","REAL","50","50","50","50","50","0","0.00","2","21","105",
"513","RELI","280","272","272","262","262","-18","-6.43","17","212","5,556",
"514","RICY","84","92","92","84","84","0","0.00","20","670","5,660",
"515","RIGS","244","250","258","246","250","6","2.46","11","143","3,579",
"516","RISE","426","426","426","424","426","0","0.00","5","116","4,941",
"517","RMBA","294","290","324","290","322","28","9.52","33","390","12,314",
"518","ROCK","880","850","850","840","840","-40","-4.55","4","6","507",
"519","RODA","51","51","52","51","52","1","1.96","17","1,495","7,673",
"520","RONY","170","170","170","169","170","0","0.00","5","74","1,254",
